transaction_id,account_id,customer_id,booking_date,direction,amount,currency,counterparty_id,counterparty_name,category,running_balance,synthetic_flag
TXN-00001-0001,ACC-00001,CUS-00001,2026-04-25,IN,98395000,VND,CP-00009,DOI TAC MOCK 009,SALES_RECEIPT,-55783000,True
TXN-00001-0002,ACC-00001,CUS-00001,2026-04-26,IN,18426000,VND,CP-00010,DOI TAC MOCK 010,SALES_RECEIPT,-37357000,True
TXN-00001-0003,ACC-00001,CUS-00001,2026-04-27,OUT,50682000,VND,CP-00011,DOI TAC MOCK 011,OPERATING_PAYMENT,-88039000,True
TXN-00001-0004,ACC-00001,CUS-00001,2026-04-28,IN,128683000,VND,CP-00012,DOI TAC MOCK 012,SALES_RECEIPT,40644000,True
TXN-00001-0005,ACC-00001,CUS-00001,2026-04-29,IN,39829000,VND,CP-00013,DOI TAC MOCK 013,SALES_RECEIPT,80473000,True
TXN-00001-0006,ACC-00001,CUS-00001,2026-04-30,OUT,147347000,VND,CP-00014,DOI TAC MOCK 014,OPERATING_PAYMENT,-66874000,True
TXN-00001-0007,ACC-00001,CUS-00001,2026-05-01,IN,15227000,VND,CP-00015,DOI TAC MOCK 015,SALES_RECEIPT,-51647000,True
TXN-00001-0008,ACC-00001,CUS-00001,2026-05-02,IN,123478000,VND,CP-00016,DOI TAC MOCK 016,SALES_RECEIPT,71831000,True
TXN-00001-0009,ACC-00001,CUS-00001,2026-05-03,OUT,37156000,VND,CP-00017,DOI TAC MOCK 017,OPERATING_PAYMENT,34675000,True
TXN-00001-0010,ACC-00001,CUS-00001,2026-05-04,IN,113365000,VND,CP-00018,DOI TAC MOCK 018,SALES_RECEIPT,148040000,True
TXN-00001-0011,ACC-00001,CUS-00001,2026-05-05,IN,37996000,VND,CP-00019,DOI TAC MOCK 019,SALES_RECEIPT,186036000,True
TXN-00001-0012,ACC-00001,CUS-00001,2026-05-06,OUT,128345000,VND,CP-00020,DOI TAC MOCK 020,OPERATING_PAYMENT,57691000,True
TXN-00001-0013,ACC-00001,CUS-00001,2026-05-07,IN,106436000,VND,CP-00021,DOI TAC MOCK 021,SALES_RECEIPT,164127000,True
TXN-00001-0014,ACC-00001,CUS-00001,2026-05-08,IN,126597000,VND,CP-00022,DOI TAC MOCK 022,SALES_RECEIPT,290724000,True
TXN-00001-0015,ACC-00001,CUS-00001,2026-05-09,OUT,67951000,VND,CP-00023,DOI TAC MOCK 023,OPERATING_PAYMENT,222773000,True
TXN-00001-0016,ACC-00001,CUS-00001,2026-05-10,IN,66160000,VND,CP-00024,DOI TAC MOCK 024,SALES_RECEIPT,288933000,True
TXN-00001-0017,ACC-00001,CUS-00001,2026-05-11,IN,46998000,VND,CP-00025,DOI TAC MOCK 025,SALES_RECEIPT,335931000,True
TXN-00001-0018,ACC-00001,CUS-00001,2026-05-12,OUT,39552000,VND,CP-00026,DOI TAC MOCK 026,OPERATING_PAYMENT,296379000,True
TXN-00001-0019,ACC-00001,CUS-00001,2026-05-13,IN,17543000,VND,CP-00027,DOI TAC MOCK 027,SALES_RECEIPT,313922000,True
TXN-00001-0020,ACC-00001,CUS-00001,2026-05-14,IN,65681000,VND,CP-00028,DOI TAC MOCK 028,SALES_RECEIPT,379603000,True
TXN-00001-0021,ACC-00001,CUS-00001,2026-05-15,OUT,148899000,VND,CP-00029,DOI TAC MOCK 029,OPERATING_PAYMENT,230704000,True
TXN-00001-0022,ACC-00001,CUS-00001,2026-05-16,IN,136111000,VND,CP-00030,DOI TAC MOCK 030,SALES_RECEIPT,366815000,True
TXN-00001-0023,ACC-00001,CUS-00001,2026-05-17,IN,62828000,VND,CP-00031,DOI TAC MOCK 031,SALES_RECEIPT,429643000,True
TXN-00001-0024,ACC-00001,CUS-00001,2026-05-18,OUT,105879000,VND,CP-00032,DOI TAC MOCK 032,OPERATING_PAYMENT,323764000,True
TXN-00001-0025,ACC-00001,CUS-00001,2026-05-19,IN,93592000,VND,CP-00033,DOI TAC MOCK 033,SALES_RECEIPT,417356000,True
TXN-00001-0026,ACC-00001,CUS-00001,2026-05-20,IN,70397000,VND,CP-00034,DOI TAC MOCK 034,SALES_RECEIPT,487753000,True
TXN-00001-0027,ACC-00001,CUS-00001,2026-05-21,OUT,154760000,VND,CP-00035,DOI TAC MOCK 035,OPERATING_PAYMENT,332993000,True
TXN-00001-0028,ACC-00001,CUS-00001,2026-05-22,IN,100058000,VND,CP-00036,DOI TAC MOCK 036,SALES_RECEIPT,433051000,True
TXN-00001-0029,ACC-00001,CUS-00001,2026-05-23,IN,115283000,VND,CP-00037,DOI TAC MOCK 037,SALES_RECEIPT,548334000,True
TXN-00001-0030,ACC-00001,CUS-00001,2026-05-24,OUT,145273000,VND,CP-00038,DOI TAC MOCK 038,OPERATING_PAYMENT,403061000,True
TXN-00001-0031,ACC-00001,CUS-00001,2026-05-25,IN,142353000,VND,CP-00039,DOI TAC MOCK 039,SALES_RECEIPT,545414000,True
TXN-00001-0032,ACC-00001,CUS-00001,2026-05-26,IN,159258000,VND,CP-00040,DOI TAC MOCK 040,SALES_RECEIPT,704672000,True
TXN-00001-0033,ACC-00001,CUS-00001,2026-05-27,OUT,25110000,VND,CP-00041,DOI TAC MOCK 041,OPERATING_PAYMENT,679562000,True
TXN-00001-0034,ACC-00001,CUS-00001,2026-05-28,IN,37097000,VND,CP-00042,DOI TAC MOCK 042,SALES_RECEIPT,716659000,True
TXN-00001-0035,ACC-00001,CUS-00001,2026-05-29,IN,66128000,VND,CP-00043,DOI TAC MOCK 043,SALES_RECEIPT,782787000,True
TXN-00001-0036,ACC-00001,CUS-00001,2026-05-30,OUT,44849000,VND,CP-00044,DOI TAC MOCK 044,OPERATING_PAYMENT,737938000,True
TXN-00001-0037,ACC-00001,CUS-00001,2026-05-31,IN,83441000,VND,CP-00045,DOI TAC MOCK 045,SALES_RECEIPT,821379000,True
TXN-00001-0038,ACC-00001,CUS-00001,2026-06-01,IN,150868000,VND,CP-00046,DOI TAC MOCK 046,SALES_RECEIPT,972247000,True
TXN-00001-0039,ACC-00001,CUS-00001,2026-06-02,OUT,26558000,VND,CP-00047,DOI TAC MOCK 047,OPERATING_PAYMENT,945689000,True
TXN-00001-0040,ACC-00001,CUS-00001,2026-06-03,IN,33145000,VND,CP-00048,DOI TAC MOCK 048,SALES_RECEIPT,978834000,True
TXN-00001-0041,ACC-00001,CUS-00001,2026-06-04,IN,62312000,VND,CP-00049,DOI TAC MOCK 049,SALES_RECEIPT,1041146000,True
TXN-00001-0042,ACC-00001,CUS-00001,2026-06-05,OUT,148932000,VND,CP-00050,DOI TAC MOCK 050,OPERATING_PAYMENT,892214000,True
TXN-00001-0043,ACC-00001,CUS-00001,2026-06-06,IN,35599000,VND,CP-00051,DOI TAC MOCK 051,SALES_RECEIPT,927813000,True
TXN-00001-0044,ACC-00001,CUS-00001,2026-06-07,IN,115521000,VND,CP-00052,DOI TAC MOCK 052,SALES_RECEIPT,1043334000,True
TXN-00001-0045,ACC-00001,CUS-00001,2026-06-08,OUT,62414000,VND,CP-00053,DOI TAC MOCK 053,OPERATING_PAYMENT,980920000,True
TXN-00001-0046,ACC-00001,CUS-00001,2026-06-09,IN,150996000,VND,CP-00054,DOI TAC MOCK 054,SALES_RECEIPT,1131916000,True
TXN-00001-0047,ACC-00001,CUS-00001,2026-06-10,IN,56410000,VND,CP-00055,DOI TAC MOCK 055,SALES_RECEIPT,1188326000,True
TXN-00001-0048,ACC-00001,CUS-00001,2026-06-11,OUT,127029000,VND,CP-00056,DOI TAC MOCK 056,OPERATING_PAYMENT,1061297000,True
TXN-00001-0049,ACC-00001,CUS-00001,2026-06-12,IN,53885000,VND,CP-00057,DOI TAC MOCK 057,SALES_RECEIPT,1115182000,True
TXN-00001-0050,ACC-00001,CUS-00001,2026-06-13,IN,112304000,VND,CP-00058,DOI TAC MOCK 058,SALES_RECEIPT,1227486000,True
TXN-00001-0051,ACC-00001,CUS-00001,2026-06-14,OUT,87995000,VND,CP-00059,DOI TAC MOCK 059,OPERATING_PAYMENT,1139491000,True
TXN-00001-0052,ACC-00001,CUS-00001,2026-06-15,IN,9964000,VND,CP-00060,DOI TAC MOCK 060,SALES_RECEIPT,1149455000,True
TXN-00001-0053,ACC-00001,CUS-00001,2026-06-16,IN,83791000,VND,CP-00061,DOI TAC MOCK 061,SALES_RECEIPT,1233246000,True
TXN-00001-0054,ACC-00001,CUS-00001,2026-06-17,OUT,11670000,VND,CP-00062,DOI TAC MOCK 062,OPERATING_PAYMENT,1221576000,True
TXN-00001-0055,ACC-00001,CUS-00001,2026-06-18,IN,106930000,VND,CP-00063,DOI TAC MOCK 063,SALES_RECEIPT,1328506000,True
TXN-00001-0056,ACC-00001,CUS-00001,2026-06-19,IN,96426000,VND,CP-00064,DOI TAC MOCK 064,SALES_RECEIPT,1424932000,True
TXN-00001-0057,ACC-00001,CUS-00001,2026-06-20,OUT,144558000,VND,CP-00065,DOI TAC MOCK 065,OPERATING_PAYMENT,1280374000,True
TXN-00001-0058,ACC-00001,CUS-00001,2026-06-21,IN,7190000,VND,CP-00066,DOI TAC MOCK 066,SALES_RECEIPT,1287564000,True
TXN-00001-0059,ACC-00001,CUS-00001,2026-06-22,IN,59857000,VND,CP-00067,DOI TAC MOCK 067,SALES_RECEIPT,1347421000,True
TXN-00001-0060,ACC-00001,CUS-00001,2026-06-23,OUT,77618000,VND,CP-00068,DOI TAC MOCK 068,OPERATING_PAYMENT,1269803000,True
TXN-00001-0061,ACC-00001,CUS-00001,2026-06-24,IN,81062000,VND,CP-00069,DOI TAC MOCK 069,SALES_RECEIPT,1350865000,True
TXN-00001-0062,ACC-00001,CUS-00001,2026-06-25,IN,24978000,VND,CP-00070,DOI TAC MOCK 070,SALES_RECEIPT,1375843000,True
TXN-00001-0063,ACC-00001,CUS-00001,2026-06-26,OUT,136261000,VND,CP-00071,DOI TAC MOCK 071,OPERATING_PAYMENT,1239582000,True
TXN-00001-0064,ACC-00001,CUS-00001,2026-06-27,IN,48862000,VND,CP-00072,DOI TAC MOCK 072,SALES_RECEIPT,1288444000,True
TXN-00001-0065,ACC-00001,CUS-00001,2026-06-28,IN,7355000,VND,CP-00073,DOI TAC MOCK 073,SALES_RECEIPT,1295799000,True
TXN-00001-0066,ACC-00001,CUS-00001,2026-06-29,OUT,63070000,VND,CP-00074,DOI TAC MOCK 074,OPERATING_PAYMENT,1232729000,True
TXN-00001-0067,ACC-00001,CUS-00001,2026-06-30,OUT,81588000,VND,CP-SETTLEMENT,DOI TAC MOCK SETTLEMENT,SETTLEMENT_ADJUSTMENT,1151141000,True
TXN-00002-0001,ACC-00002,CUS-00002,2026-04-08,IN,50591000,VND,CP-00016,DOI TAC MOCK 016,SALES_RECEIPT,288925000,True
TXN-00002-0002,ACC-00002,CUS-00002,2026-04-09,IN,159701000,VND,CP-00017,DOI TAC MOCK 017,SALES_RECEIPT,448626000,True
TXN-00002-0003,ACC-00002,CUS-00002,2026-04-10,OUT,27203000,VND,CP-00018,DOI TAC MOCK 018,OPERATING_PAYMENT,421423000,True
TXN-00002-0004,ACC-00002,CUS-00002,2026-04-11,IN,147193000,VND,CP-00019,DOI TAC MOCK 019,SALES_RECEIPT,568616000,True
TXN-00002-0005,ACC-00002,CUS-00002,2026-04-12,IN,56338000,VND,CP-00020,DOI TAC MOCK 020,SALES_RECEIPT,624954000,True
TXN-00002-0006,ACC-00002,CUS-00002,2026-04-13,OUT,72092000,VND,CP-00021,DOI TAC MOCK 021,OPERATING_PAYMENT,552862000,True
TXN-00002-0007,ACC-00002,CUS-00002,2026-04-14,IN,84557000,VND,CP-00022,DOI TAC MOCK 022,SALES_RECEIPT,637419000,True
TXN-00002-0008,ACC-00002,CUS-00002,2026-04-15,IN,12625000,VND,CP-00023,DOI TAC MOCK 023,SALES_RECEIPT,650044000,True
TXN-00002-0009,ACC-00002,CUS-00002,2026-04-16,OUT,35051000,VND,CP-00024,DOI TAC MOCK 024,OPERATING_PAYMENT,614993000,True
TXN-00002-0010,ACC-00002,CUS-00002,2026-04-17,IN,119603000,VND,CP-00025,DOI TAC MOCK 025,SALES_RECEIPT,734596000,True
TXN-00002-0011,ACC-00002,CUS-00002,2026-04-18,IN,125642000,VND,CP-00026,DOI TAC MOCK 026,SALES_RECEIPT,860238000,True
TXN-00002-0012,ACC-00002,CUS-00002,2026-04-19,OUT,126102000,VND,CP-00027,DOI TAC MOCK 027,OPERATING_PAYMENT,734136000,True
TXN-00002-0013,ACC-00002,CUS-00002,2026-04-20,IN,130437000,VND,CP-00028,DOI TAC MOCK 028,SALES_RECEIPT,864573000,True
