relationship_id,customer_id,account_id,account_balance,current_exposure,turnover_in,turnover_out,past_due,products,rm_note,synthetic_flag
REL-00001,CUS-00001,ACC-00001,1151141000,2635326000,3368815000,2063496000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00002,CUS-00002,ACC-00002,689373000,3443825000,5055782000,4604743000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00003,CUS-00003,ACC-00003,1464156000,4001804000,5549196000,3762605000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00004,CUS-00004,ACC-00004,2504453000,2599662000,6809847000,3334080000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00005,CUS-00005,ACC-00005,5115606000,2292983000,11932431000,3720592000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00006,CUS-00006,ACC-00006,4218685000,1371896000,11205112000,4241645000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00007,CUS-00007,ACC-00007,5070815000,2767837000,12454012000,4238329000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00008,CUS-00008,ACC-00008,3135885000,1584651000,10877817000,5991184000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00009,CUS-00009,ACC-00009,2386958000,592601000,5663388000,1709526000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00010,CUS-00010,ACC-00010,3299341000,1484213000,7328929000,1970695000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00011,CUS-00011,ACC-00011,1038414000,730150000,4887144000,3234585000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00012,CUS-00012,ACC-00012,2676567000,2040212000,7223702000,3272874000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00013,CUS-00013,ACC-00013,5300054000,1397760000,12033689000,3275423000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00014,CUS-00014,ACC-00014,3593142000,3323589000,9766902000,4295730000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00015,CUS-00015,ACC-00015,4016123000,4845693000,10437113000,4415451000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00016,CUS-00016,ACC-00016,1306366000,2472729000,9472927000,8017251000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00017,CUS-00017,ACC-00017,2113422000,3362468000,10640963000,7866670000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00018,CUS-00018,ACC-00018,2675309000,1544699000,5345572000,1073576000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00019,CUS-00019,ACC-00019,2893543000,4651924000,5938267000,1812011000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00020,CUS-00020,ACC-00020,1990993000,1255362000,5304009000,2281217000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00021,CUS-00021,ACC-00021,2645366000,973365000,7114567000,2813720000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00022,CUS-00022,ACC-00022,3114603000,2779073000,7833307000,3069060000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00023,CUS-00023,ACC-00023,5044466000,2563285000,12483074000,4275308000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00024,CUS-00024,ACC-00024,4303274000,1328473000,11405254000,4428733000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00025,CUS-00025,ACC-00025,5105961000,1828771000,12937947000,4623858000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00026,CUS-00026,ACC-00026,4764863000,2038034000,12906855000,5146073000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00027,CUS-00027,ACC-00027,745081000,1515515000,3112754000,2108337000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00028,CUS-00028,ACC-00028,3831786000,1337837000,8165130000,2002567000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00029,CUS-00029,ACC-00029,4791721000,2122348000,10460631000,2762192000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00030,CUS-00030,ACC-00030,1191524000,3737971000,6384552000,5132566000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00031,CUS-00031,ACC-00031,3247934000,2388872000,8895995000,3746370000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00032,CUS-00032,ACC-00032,819583000,1943867000,7779492000,6991848000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00033,CUS-00033,ACC-00033,2620014000,2891013000,8206434000,4440108000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00034,CUS-00034,ACC-00034,816597000,2682165000,9704137000,8871784000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00035,CUS-00035,ACC-00035,4128178000,4380272000,11854488000,5554986000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00036,CUS-00036,ACC-00036,2376647000,1137031000,5448024000,1724040000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00037,CUS-00037,ACC-00037,1833624000,2983955000,4395584000,2005645000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00038,CUS-00038,ACC-00038,4702099000,2855915000,10138781000,2660434000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00039,CUS-00039,ACC-00039,1959215000,3081600000,5892750000,3086393000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00040,CUS-00040,ACC-00040,2611092000,2307041000,7685236000,3932412000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00041,CUS-00041,ACC-00041,631194000,2477546000,7076211000,6624811000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00042,CUS-00042,ACC-00042,4790925000,2702773000,12528080000,4864280000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00043,CUS-00043,ACC-00043,891199000,4081317000,9610434000,8823869000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00044,CUS-00044,ACC-00044,2935440000,2090325000,10482278000,6102225000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00045,CUS-00045,ACC-00045,3761941000,1858587000,7550695000,1555955000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00046,CUS-00046,ACC-00046,3111948000,3586032000,6877705000,2290175000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00047,CUS-00047,ACC-00047,1434536000,4308873000,5371301000,3691806000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00048,CUS-00048,ACC-00048,1901614000,596220000,6755851000,3675864000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00049,CUS-00049,ACC-00049,3409170000,2101108000,8492008000,3166120000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00050,CUS-00050,ACC-00050,1559805000,3812306000,8214986000,6345413000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00051,CUS-00051,ACC-00051,4414145000,1106639000,11622031000,4232059000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00052,CUS-00052,ACC-00052,2372343000,1609602000,9571219000,6005862000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00053,CUS-00053,ACC-00053,2011790000,2827002000,10676028000,7939462000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00054,CUS-00054,ACC-00054,3072965000,818497000,6834917000,1724030000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00055,CUS-00055,ACC-00055,2009983000,1420936000,5873813000,2676471000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00056,CUS-00056,ACC-00056,2575859000,1520060000,6388317000,2444258000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00057,CUS-00057,ACC-00057,5354083000,2522363000,11452802000,2889504000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00058,CUS-00058,ACC-00058,1389982000,3015617000,7550551000,5803113000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00059,CUS-00059,ACC-00059,2444010000,3426251000,8072123000,4494939000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00060,CUS-00060,ACC-00060,5049744000,2192186000,12309751000,4325690000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00061,CUS-00061,ACC-00061,1292903000,2218140000,9440016000,7784067000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00062,CUS-00062,ACC-00062,1450090000,1094286000,11174426000,8913718000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00063,CUS-00063,ACC-00063,3783763000,1843486000,7869253000,1698276000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00064,CUS-00064,ACC-00064,5029381000,2391857000,10168292000,2283149000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00065,CUS-00065,ACC-00065,972041000,2624036000,5364285000,4364126000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00066,CUS-00066,ACC-00066,2265878000,3894776000,5886090000,2819665000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00067,CUS-00067,ACC-00067,3865906000,3075890000,9539724000,3452812000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00068,CUS-00068,ACC-00068,3991241000,764611000,10674345000,4054087000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00069,CUS-00069,ACC-00069,1109944000,2942866000,9119891000,7964162000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00070,CUS-00070,ACC-00070,3800668000,1190917000,11201650000,4918563000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00071,CUS-00071,ACC-00071,1881869000,3866565000,12476477000,9946690000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00072,CUS-00072,ACC-00072,5352720000,2272966000,10121850000,1642520000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00073,CUS-00073,ACC-00073,2894600000,773830000,7150929000,2370318000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00074,CUS-00074,ACC-00074,4848863000,1796252000,10407075000,2450233000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
